statement,label,city,country,correct_country,question,question_with_answer
The city of Chattogram is in China.,0,Chattogram,China,Bangladesh,In which country is the city of Chattogram located?,In which country is the city of Chattogram located? China.
The city of Nanjing is in China.,1,Nanjing,China,China,In which country is the city of Nanjing located?,In which country is the city of Nanjing located? China.
The city of Nanjing is in Germany.,0,Nanjing,Germany,China,In which country is the city of Nanjing located?,In which country is the city of Nanjing located? Germany.
The city of Kaifeng is in China.,1,Kaifeng,China,China,In which country is the city of Kaifeng located?,In which country is the city of Kaifeng located? China.
The city of Kaifeng is in Mexico.,0,Kaifeng,Mexico,China,In which country is the city of Kaifeng located?,In which country is the city of Kaifeng located? Mexico.
The city of Heze is in China.,1,Heze,China,China,In which country is the city of Heze located?,In which country is the city of Heze located? China.
The city of Heze is in Yemen.,0,Heze,Yemen,China,In which country is the city of Heze located?,In which country is the city of Heze located? Yemen.
The city of Sendai is in Japan.,1,Sendai,Japan,Japan,In which country is the city of Sendai located?,In which country is the city of Sendai located? Japan.
The city of Sendai is in Brazil.,0,Sendai,Brazil,Japan,In which country is the city of Sendai located?,In which country is the city of Sendai located? Brazil.
The city of Jeonju is in South Korea.,1,Jeonju,South Korea,South Korea,In which country is the city of Jeonju located?,In which country is the city of Jeonju located? South Korea.
The city of Jeonju is in the United States.,0,Jeonju,the United States,South Korea,In which country is the city of Jeonju located?,In which country is the city of Jeonju located? the United States.
The city of Almaty is in Kazakhstan.,1,Almaty,Kazakhstan,Kazakhstan,In which country is the city of Almaty located?,In which country is the city of Almaty located? Kazakhstan.
The city of Almaty is in Iraq.,0,Almaty,Iraq,Kazakhstan,In which country is the city of Almaty located?,In which country is the city of Almaty located? Iraq.
The city of Pimpri is in India.,1,Pimpri,India,India,In which country is the city of Pimpri located?,In which country is the city of Pimpri located? India.
The city of Pimpri is in China.,0,Pimpri,China,India,In which country is the city of Pimpri located?,In which country is the city of Pimpri located? China.
The city of Navi Mumbai is in India.,1,Navi Mumbai,India,India,In which country is the city of Navi Mumbai located?,In which country is the city of Navi Mumbai located? India.
The city of Navi Mumbai is in China.,0,Navi Mumbai,China,India,In which country is the city of Navi Mumbai located?,In which country is the city of Navi Mumbai located? China.
The city of Novosibirsk is in Russia.,1,Novosibirsk,Russia,Russia,In which country is the city of Novosibirsk located?,In which country is the city of Novosibirsk located? Russia.
The city of Novosibirsk is in the Philippines.,0,Novosibirsk,the Philippines,Russia,In which country is the city of Novosibirsk located?,In which country is the city of Novosibirsk located? the Philippines.
The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden,In which country is the city of Goeteborg located?,In which country is the city of Goeteborg located? Sweden.
The city of Goeteborg is in South Korea.,0,Goeteborg,South Korea,Sweden,In which country is the city of Goeteborg located?,In which country is the city of Goeteborg located? South Korea.
The city of Bursa is in Turkey.,1,Bursa,Turkey,Turkey,In which country is the city of Bursa located?,In which country is the city of Bursa located? Turkey.
The city of Bursa is in Bosnia and Herzegovina.,0,Bursa,Bosnia and Herzegovina,Turkey,In which country is the city of Bursa located?,In which country is the city of Bursa located? Bosnia and Herzegovina.
The city of Dar es Salaam is in Tanzania.,1,Dar es Salaam,Tanzania,Tanzania,In which country is the city of Dar es Salaam located?,In which country is the city of Dar es Salaam located? Tanzania.
The city of Dar es Salaam is in Italy.,0,Dar es Salaam,Italy,Tanzania,In which country is the city of Dar es Salaam located?,In which country is the city of Dar es Salaam located? Italy.
The city of Mbuji-Mayi is in the Democratic Republic of the Congo.,1,Mbuji-Mayi,the Democratic Republic of the Congo,the Democratic Republic of the Congo,In which country is the city of Mbuji-Mayi located?,In which country is the city of Mbuji-Mayi located? the Democratic Republic of the Congo.
The city of Mbuji-Mayi is in Pakistan.,0,Mbuji-Mayi,Pakistan,the Democratic Republic of the Congo,In which country is the city of Mbuji-Mayi located?,In which country is the city of Mbuji-Mayi located? Pakistan.
The city of Goiania is in Brazil.,1,Goiania,Brazil,Brazil,In which country is the city of Goiania located?,In which country is the city of Goiania located? Brazil.
The city of Goiania is in China.,0,Goiania,China,Brazil,In which country is the city of Goiania located?,In which country is the city of Goiania located? China.
The city of Yaroslavl is in Russia.,1,Yaroslavl,Russia,Russia,In which country is the city of Yaroslavl located?,In which country is the city of Yaroslavl located? Russia.
The city of Yaroslavl is in India.,0,Yaroslavl,India,Russia,In which country is the city of Yaroslavl located?,In which country is the city of Yaroslavl located? India.
The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda,In which country is the city of Kigali located?,In which country is the city of Kigali located? Rwanda.
The city of Kigali is in Indonesia.,0,Kigali,Indonesia,Rwanda,In which country is the city of Kigali located?,In which country is the city of Kigali located? Indonesia.
The city of Diyarbakir is in Turkey.,1,Diyarbakir,Turkey,Turkey,In which country is the city of Diyarbakir located?,In which country is the city of Diyarbakir located? Turkey.
The city of Diyarbakir is in Colombia.,0,Diyarbakir,Colombia,Turkey,In which country is the city of Diyarbakir located?,In which country is the city of Diyarbakir located? Colombia.
The city of Tyumen is in Russia.,1,Tyumen,Russia,Russia,In which country is the city of Tyumen located?,In which country is the city of Tyumen located? Russia.
The city of Tyumen is in Mexico.,0,Tyumen,Mexico,Russia,In which country is the city of Tyumen located?,In which country is the city of Tyumen located? Mexico.
The city of Orenburg is in Russia.,1,Orenburg,Russia,Russia,In which country is the city of Orenburg located?,In which country is the city of Orenburg located? Russia.
The city of Orenburg is in Malaysia.,0,Orenburg,Malaysia,Russia,In which country is the city of Orenburg located?,In which country is the city of Orenburg located? Malaysia.
The city of Osaka is in Japan.,1,Osaka,Japan,Japan,In which country is the city of Osaka located?,In which country is the city of Osaka located? Japan.
The city of Osaka is in India.,0,Osaka,India,Japan,In which country is the city of Osaka located?,In which country is the city of Osaka located? India.
The city of Sapporo is in Japan.,1,Sapporo,Japan,Japan,In which country is the city of Sapporo located?,In which country is the city of Sapporo located? Japan.
The city of Sapporo is in Mexico.,0,Sapporo,Mexico,Japan,In which country is the city of Sapporo located?,In which country is the city of Sapporo located? Mexico.
The city of Kimhae is in South Korea.,1,Kimhae,South Korea,South Korea,In which country is the city of Kimhae located?,In which country is the city of Kimhae located? South Korea.
The city of Kimhae is in Senegal.,0,Kimhae,Senegal,South Korea,In which country is the city of Kimhae located?,In which country is the city of Kimhae located? Senegal.
The city of Cheonan is in South Korea.,1,Cheonan,South Korea,South Korea,In which country is the city of Cheonan located?,In which country is the city of Cheonan located? South Korea.
The city of Cheonan is in Myanmar.,0,Cheonan,Myanmar,South Korea,In which country is the city of Cheonan located?,In which country is the city of Cheonan located? Myanmar.
The city of San Luis Potosi is in Mexico.,1,San Luis Potosi,Mexico,Mexico,In which country is the city of San Luis Potosi located?,In which country is the city of San Luis Potosi located? Mexico.
The city of San Luis Potosi is in the Democratic Republic of the Congo.,0,San Luis Potosi,the Democratic Republic of the Congo,Mexico,In which country is the city of San Luis Potosi located?,In which country is the city of San Luis Potosi located? the Democratic Republic of the Congo.
The city of Culiacan is in Mexico.,1,Culiacan,Mexico,Mexico,In which country is the city of Culiacan located?,In which country is the city of Culiacan located? Mexico.
The city of Culiacan is in China.,0,Culiacan,China,Mexico,In which country is the city of Culiacan located?,In which country is the city of Culiacan located? China.
The city of Kaduna is in Nigeria.,1,Kaduna,Nigeria,Nigeria,In which country is the city of Kaduna located?,In which country is the city of Kaduna located? Nigeria.
The city of Kaduna is in Turkey.,0,Kaduna,Turkey,Nigeria,In which country is the city of Kaduna located?,In which country is the city of Kaduna located? Turkey.
The city of General Santos is in the Philippines.,1,General Santos,the Philippines,the Philippines,In which country is the city of General Santos located?,In which country is the city of General Santos located? the Philippines.
The city of General Santos is in China.,0,General Santos,China,the Philippines,In which country is the city of General Santos located?,In which country is the city of General Santos located? China.
The city of Ebute Ikorodu is in Nigeria.,1,Ebute Ikorodu,Nigeria,Nigeria,In which country is the city of Ebute Ikorodu located?,In which country is the city of Ebute Ikorodu located? Nigeria.
